Exp_Name,Accuracy,Views,Steps,Confidence,LR,Time_Sec
A_RN50_b8_step1_conf0.05_lr0.0025,20.75,8,1,0.05,0.0025,148.8
A_RN50_b16_step1_conf0.05_lr0.0025,21.0,16,1,0.05,0.0025,148.9
A_RN50_b32_step1_conf0.05_lr0.0025,24.875,32,1,0.05,0.0025,154.0
A_RN50_b64_step1_conf0.05_lr0.0025,26.0,64,1,0.05,0.0025,168.6
A_RN50_b8_step2_conf0.05_lr0.0025,20.875,8,2,0.05,0.0025,242.8
A_RN50_b16_step2_conf0.05_lr0.0025,20.625,16,2,0.05,0.0025,242.5
A_RN50_b32_step2_conf0.05_lr0.0025,26.75,32,2,0.05,0.0025,252.0
A_RN50_b64_step2_conf0.05_lr0.0025,29.0,64,2,0.05,0.0025,277.8
A_RN50_b8_step1_conf0.1_lr0.0025,20.875,8,1,0.1,0.0025,146.4
A_RN50_b16_step1_conf0.1_lr0.0025,24.75,16,1,0.1,0.0025,149.1
A_RN50_b32_step1_conf0.1_lr0.0025,26.375,32,1,0.1,0.0025,153.2
A_RN50_b64_step1_conf0.1_lr0.0025,26.5,64,1,0.1,0.0025,168.1
A_RN50_b8_step2_conf0.1_lr0.0025,20.5,8,2,0.1,0.0025,242.2
A_RN50_b16_step2_conf0.1_lr0.0025,26.75,16,2,0.1,0.0025,244.6
A_RN50_b32_step2_conf0.1_lr0.0025,28.0,32,2,0.1,0.0025,252.6
A_RN50_b64_step2_conf0.1_lr0.0025,29.375,64,2,0.1,0.0025,277.6
A_RN50_b8_step1_conf0.5_lr0.0025,24.25,8,1,0.5,0.0025,148.1
A_RN50_b16_step1_conf0.5_lr0.0025,24.125,16,1,0.5,0.0025,149.1
A_RN50_b32_step1_conf0.5_lr0.0025,24.5,32,1,0.5,0.0025,153.0
A_RN50_b64_step1_conf0.5_lr0.0025,24.75,64,1,0.5,0.0025,168.3
A_RN50_b8_step2_conf0.5_lr0.0025,25.25,8,2,0.5,0.0025,243.1
A_RN50_b16_step2_conf0.5_lr0.0025,25.75,16,2,0.5,0.0025,244.4
A_RN50_b32_step2_conf0.5_lr0.0025,26.5,32,2,0.5,0.0025,252.0
A_RN50_b64_step2_conf0.5_lr0.0025,26.75,64,2,0.5,0.0025,277.8
A_RN50_b8_step1_conf0.05_lr0.005,21.0,8,1,0.05,0.005,146.5
A_RN50_b16_step1_conf0.05_lr0.005,20.75,16,1,0.05,0.005,148.0
A_RN50_b32_step1_conf0.05_lr0.005,26.25,32,1,0.05,0.005,153.0
A_RN50_b64_step1_conf0.05_lr0.005,27.75,64,1,0.05,0.005,167.9
A_RN50_b8_step2_conf0.05_lr0.005,20.75,8,2,0.05,0.005,242.2
A_RN50_b16_step2_conf0.05_lr0.005,20.75,16,2,0.05,0.005,243.3
A_RN50_b32_step2_conf0.05_lr0.005,25.625,32,2,0.05,0.005,252.6
A_RN50_b64_step2_conf0.05_lr0.005,29.5,64,2,0.05,0.005,277.8
A_RN50_b8_step1_conf0.1_lr0.005,20.875,8,1,0.1,0.005,147.3
A_RN50_b16_step1_conf0.1_lr0.005,25.75,16,1,0.1,0.005,148.7
A_RN50_b32_step1_conf0.1_lr0.005,26.625,32,1,0.1,0.005,153.8
A_RN50_b64_step1_conf0.1_lr0.005,27.625,64,1,0.1,0.005,168.4
A_RN50_b8_step2_conf0.1_lr0.005,20.75,8,2,0.1,0.005,242.1
A_RN50_b16_step2_conf0.1_lr0.005,26.375,16,2,0.1,0.005,244.3
A_RN50_b32_step2_conf0.1_lr0.005,28.0,32,2,0.1,0.005,252.8
A_RN50_b64_step2_conf0.1_lr0.005,29.5,64,2,0.1,0.005,277.8
A_RN50_b8_step1_conf0.5_lr0.005,25.25,8,1,0.5,0.005,147.3
A_RN50_b16_step1_conf0.5_lr0.005,24.5,16,1,0.5,0.005,149.0
A_RN50_b32_step1_conf0.5_lr0.005,25.75,32,1,0.5,0.005,153.0
A_RN50_b64_step1_conf0.5_lr0.005,25.75,64,1,0.5,0.005,167.9
A_RN50_b8_step2_conf0.5_lr0.005,25.625,8,2,0.5,0.005,242.7
A_RN50_b16_step2_conf0.5_lr0.005,25.75,16,2,0.5,0.005,243.5
A_RN50_b32_step2_conf0.5_lr0.005,27.0,32,2,0.5,0.005,251.8
A_RN50_b64_step2_conf0.5_lr0.005,27.25,64,2,0.5,0.005,276.9
A_RN50_b8_step1_conf0.05_lr0.01,20.625,8,1,0.05,0.01,146.0
A_RN50_b16_step1_conf0.05_lr0.01,20.625,16,1,0.05,0.01,147.9
A_RN50_b32_step1_conf0.05_lr0.01,25.75,32,1,0.05,0.01,152.9
A_RN50_b64_step1_conf0.05_lr0.01,28.375,64,1,0.05,0.01,167.5
A_RN50_b8_step2_conf0.05_lr0.01,20.75,8,2,0.05,0.01,240.9
A_RN50_b16_step2_conf0.05_lr0.01,20.625,16,2,0.05,0.01,241.8
A_RN50_b32_step2_conf0.05_lr0.01,26.75,32,2,0.05,0.01,251.8
A_RN50_b64_step2_conf0.05_lr0.01,29.375,64,2,0.05,0.01,277.0
A_RN50_b8_step1_conf0.1_lr0.01,20.625,8,1,0.1,0.01,146.4
A_RN50_b16_step1_conf0.1_lr0.01,25.5,16,1,0.1,0.01,148.5
A_RN50_b32_step1_conf0.1_lr0.01,27.75,32,1,0.1,0.01,153.3
A_RN50_b64_step1_conf0.1_lr0.01,27.625,64,1,0.1,0.01,167.4
A_RN50_b8_step2_conf0.1_lr0.01,20.75,8,2,0.1,0.01,241.8
A_RN50_b16_step2_conf0.1_lr0.01,27.25,16,2,0.1,0.01,243.1
A_RN50_b32_step2_conf0.1_lr0.01,28.625,32,2,0.1,0.01,252.1
A_RN50_b64_step2_conf0.1_lr0.01,30.0,64,2,0.1,0.01,277.4
A_RN50_b8_step1_conf0.5_lr0.01,24.875,8,1,0.5,0.01,147.1
A_RN50_b16_step1_conf0.5_lr0.01,23.75,16,1,0.5,0.01,149.4
A_RN50_b32_step1_conf0.5_lr0.01,25.75,32,1,0.5,0.01,152.9
A_RN50_b64_step1_conf0.5_lr0.01,26.125,64,1,0.5,0.01,167.9
A_RN50_b8_step2_conf0.5_lr0.01,26.875,8,2,0.5,0.01,242.2
A_RN50_b16_step2_conf0.5_lr0.01,25.625,16,2,0.5,0.01,243.9
A_RN50_b32_step2_conf0.5_lr0.01,27.5,32,2,0.5,0.01,252.5
A_RN50_b64_step2_conf0.5_lr0.01,27.0,64,2,0.5,0.01,277.2
